Node Contaminant;Jumlah Sensor;Algorithm;Sensor Placement;Score
32;2;Greedy;[23, 24];[1.0, 0.9833333333333333]
32;3;Greedy+ev+bw;[1, 2, 3];[1.0, 0.0, 0.0]
32;3;Greedy;[23, 24, 25];[1.0, 0.9833333333333333, 0.9833333333333333]
32;4;Greedy+ev+bw;[1, 2, 3, 4];[1.0, 0.0, 0.0, 0.0]
32;4;Greedy;[23, 24, 25, 26];[1.0, 0.9833333333333333, 0.9833333333333333, 0.9833333333333333]
32;5;Greedy+ev+bw;[1, 2, 3, 4, 5];[1.0, 0.0, 0.0, 0.0, 0.0]
32;5;Greedy;[23, 24, 25, 26, 36];[1.0, 0.9833333333333333, 0.9833333333333333, 0.9833333333333333, 0.9833333333333333]
33;2;Greedy+ev+bw;[1, 2];[1.0, 0.0]
33;2;Greedy;[51, 52];[1.0, 0.9836065573770492]
33;3;Greedy+ev+bw;[1, 2, 3];[1.0, 0.0, 0.0]
33;3;Greedy;[51, 52, 23];[1.0, 0.9836065573770492, 0.9672131147540983]
33;4;Greedy+ev+bw;[1, 2, 3, 4];[1.0, 0.0, 0.0, 0.0]
33;4;Greedy;[51, 52, 23, 38];[1.0, 0.9836065573770492, 0.9672131147540983, 0.9672131147540983]
33;5;Greedy+ev+bw;[1, 2, 3, 4, 5];[1.0, 0.0, 0.0, 0.0, 0.0]
33;5;Greedy;[51, 52, 23, 38, 50];[1.0, 0.9836065573770492, 0.9672131147540983, 0.9672131147540983, 0.9672131147540983]
34;2;Greedy+ev+bw;[1, 2];[1.0, 0.0]
34;2;Greedy;[53, 38];[1.0, 0.9672131147540983]
34;3;Greedy+ev+bw;[1, 2, 3];[1.0, 0.0, 0.0]
34;3;Greedy;[53, 38, 50];[1.0, 0.9672131147540983, 0.9672131147540983]
34;4;Greedy+ev+bw;[1, 2, 3, 4];[1.0, 0.0, 0.0, 0.0]
34;4;Greedy;[53, 38, 50, 51];[1.0, 0.9672131147540983, 0.9672131147540983, 0.9672131147540983]
34;5;Greedy+ev+bw;[1, 2, 3, 4, 5];[1.0, 0.0, 0.0, 0.0, 0.0]
34;5;Greedy;[53, 38, 50, 51, 52];[1.0, 0.9672131147540983, 0.9672131147540983, 0.9672131147540983, 0.9672131147540983]
35;2;Greedy+ev+bw;[1, 2];[1.0, 0.0]
35;2;Greedy;[56, 55];[1.0, 0.01639344262295082]
